DATE,CPI,UNRATE,IMPORTS,EXPORTS,GDP,year,INFLATION,INFLATION_LAGGED,TRADE,TRADE_GDP,UNRATE_c,TRADE_GDP_c,UNRATE_x_TRADE
1960-10-01,29.75,6.1,21.742,27.622,540.197,1960,5.0494350282485945,4.824405817665833,49.364000000000004,9.138147749802387,0.28541666666666643,-9.973858989379126,-2.8467055865519564
1961-01-01,29.84,6.6,21.658,27.56,545.018,1961,4.189944134078205,5.0494350282485945,49.218,9.03052743212151,0.7854166666666664,-10.081479307060004,-7.918161872420042
1961-04-01,29.81,7.0,21.899,26.627,555.545,1961,3.006219765031082,4.189944134078205,48.525999999999996,8.73484596207328,1.1854166666666668,-10.377160777108234,-12.30125933786372
1961-07-01,29.92,7.0,23.326,27.779,567.664,1961,3.5652474904811493,3.006219765031082,51.105000000000004,9.002684686716087,1.1854166666666668,-10.109322052465426,-11.983758849693393
1961-10-01,29.98,6.5,23.87,28.442,580.612,1961,3.7011414735385717,3.5652474904811493,52.312,9.009803448774742,0.6854166666666668,-10.102203290406772,-6.924218505299643
1962-01-01,30.04,5.8,24.314,28.325,594.013,1962,3.5504998276456368,3.7011414735385717,52.638999999999996,8.861590571250124,-0.014583333333333393,-10.25041616793139,0.14948523578233336
1962-04-01,30.21,5.6,24.884,29.662,600.366,1962,4.244306418219468,3.5504998276456368,54.546,9.085457870698873,-0.21458333333333357,-10.02654886848264,2.1515302780285688
1962-07-01,30.22,5.4,25.111,29.593,609.027,1962,3.6706689536878168,4.244306418219468,54.704,8.982196191630255,-0.41458333333333286,-10.129810547551259,4.199650622838955
1962-10-01,30.38,5.4,25.55,28.683,612.28,1962,3.509369676320273,3.6706689536878168,54.233000000000004,8.85754883386686,-0.41458333333333286,-10.254457905314654,4.251327339911695
1963-01-01,30.44,5.7,25.185,29.161,621.672,1963,3.643173306094649,3.509369676320273,54.346000000000004,8.741908916599108,-0.11458333333333304,-10.370097822582405,1.1882403755042308
1963-04-01,30.48,5.7,25.89,31.448,629.752,1963,3.182125930941093,3.643173306094649,57.338,9.104853974262886,-0.11458333333333304,-10.007152764918628,1.1466529209802565
1963-07-01,30.69,5.6,26.704,31.215,644.444,1963,3.8578680203045668,3.182125930941093,57.919,8.987437232715333,-0.21458333333333357,-10.12456950646618,2.1725638732625367
1963-10-01,30.75,5.5,26.764,32.474,653.938,1963,3.3613445378151363,3.8578680203045668,59.238,9.05865693689616,-0.3145833333333332,-10.053349802285354,3.162616291968933
1964-01-01,30.94,5.6,26.978,34.192,669.822,1964,3.686327077747986,3.3613445378151363,61.17,9.132276933274811,-0.21458333333333357,-9.979729805906702,2.141483687517482
1964-04-01,30.95,5.3,27.726,34.03,678.674,1964,3.824220060382433,3.686327077747986,61.756,9.099508747940838,-0.5145833333333334,-10.012497991240675,5.152264591325931
1964-07-01,31.02,4.9,28.429,35.375,692.031,1964,3.676470588235281,3.824220060382433,63.804,9.21981818733554,-0.9145833333333329,-9.892188551845974,9.047230779709126
1964-10-01,31.12,5.1,29.285,36.48,697.319,1964,3.8025350233489075,3.676470588235281,65.765,9.431121194173686,-0.7145833333333336,-9.680885545007827,6.917799462370179
1965-01-01,31.28,4.9,28.457,32.969,717.79,1965,4.127829560585883,3.8025350233489075,61.426,8.557656138982155,-0.9145833333333329,-10.554350600199358,9.65283315309899
1965-04-01,31.38,4.8,31.679,38.367,730.191,1965,3.8728897715988087,4.127829560585883,70.04599999999999,9.592832560247935,-1.0145833333333334,-9.519174178933579,9.657995469043028
1965-07-01,31.58,4.4,32.03,37.551,749.323,1965,4.500330906684313,3.8728897715988087,69.581,9.285848692753326,-1.4145833333333329,-9.826158046428187,13.899919403176535
1965-10-01,31.65,4.2,33.948,39.698,771.857,1965,4.180381830151414,4.500330906684313,73.646,9.541404690247028,-1.614583333333333,-9.570602048934486,15.452534558175469
1966-01-01,31.88,4.0,34.99,39.356,795.734,1966,4.730617608409982,4.180381830151414,74.346,9.343071931072444,-1.8145833333333332,-9.76893480810907,17.726546287214582
1966-04-01,32.28,3.8,36.24,40.872,804.981,1966,5.905511811023634,4.730617608409982,77.112,9.579356531396392,-2.0145833333333334,-9.532650207785121,19.20431823110044
1966-07-01,32.45,3.8,38.171,40.857,819.638,1966,5.7347670250896154,5.905511811023634,79.02799999999999,9.641817485280086,-2.0145833333333334,-9.470189253901427,19.07848543442225
